Text,Verdict
So we have undocumented immigrants in America who are paying more federal income tax than a billionaire.,1
Sam Raybum had a great expression on this.,-1
"Because frankly, in my home town of Chicago, there's an awful lot of violence and they're not using AK-47s.",0
So this is what our program is all about.,-1
I have a plan for doing that.,-1
I have been a strong force for reform.,-1
"By having a limited government and a focused government, we can send some of the money back to the people who pay the bills.",-1
They analyzed the senator's plan.,0
"Indeed, he was on that side virtually throughout all his years in the Senate.",0
When it comes to timetables it can't be the United States timetable as to how discussions take place.,-1
If the United States had stronger prestige and influence in Latin America it could persuade - as Franklin Roosevelt did in 1940 - the countries of Latin America to join in an economic quarantine of Castro.,1
He chose a tax cut for the wealthiest Americans over getting that equipment out into the homeland as fast as possible.,1
And we've got too much government and too much spending and the government is -- the size of government has grown by 40 percent in the last eight years.,1
"Well, I don't know of any perfect solution.",-1
"But there are a lot of refugees, women and children -- think of that picture we all saw of that 4-year-old boy with the blood on his forehead because he'd been bombed by the Russian and Syrian air forces.",0
Why I disagree with the MX is that it's a sitting duck.,-1
And three of those checks were my grandparents'.,0
"Listen, the No Child Left Behind Act is really a jobs act when you think about it.",-1
This -- we have weakened our economy.,1
They're interested in keeping Assad in power.,1
"It has a population less than Chicago or Los Angeles, about the size of Dallas and Forth Worth combined.",0
The vice president thinks it's the government's money.,-1
"And I was probably one of the first senators, along with Senator Bob Smith of New Hampshire, a former senator, to go down into the KGB underneath Treblinka Square and see reams of files with names in them.",1
"Did they occur when you were a young person, in your formative years?",-1
"Now, we also have people sicker because they don't have health insurance.",-1
We also have to make the economy fairer.,-1
She has made bad judgment not only on taxes.,-1
"And I think that everything you do in public life has to be guided by your faith, affected by your faith, but without transferring it in any official way to other people.",-1
"I think from the very beginning, one of the challenges we've had with Iran is that they have looked at this administration, and felt that the administration was not as strong as it needed to be.",-1
He went down and made a speech to people who were on his side saying that I did the wrong thing.,0
"Our country is so, so -- it's just so imperative that we have the right justices.",-1
"In fact, some T-shirts that are very...",-1
He's going to probably go to jail.,-1
"We're spending more money, but let's raise the standards and measure early and solve problems now, before it's too late.",-1
She complains that Donald Trump took advantage of the tax code.,1
"If you become president, this country is going to be in some mess.",-1
Our home initiative -- our home ownership initiative -- HOPE -- that passed the Congress is a good start for having people own their own homes instead of living in these deadly tenements.,1
And we've got a strong family.,-1
That is absolutely not true.,-1
We'll deny sanctuary to these terrorists.,-1
"This morning, I got a call from the skipper of the Mayaguez.",0
"And so we -- we -- we've got to walk the walk and not just talk the talk when it comes to energy independence, because this is probably going to be just as vital for our economy and the pain that people are feeling at the pump -- and, you know, winter's coming and home heating oil -- as it is our national security and the issue of climate change that's so important.",-1
And now I listen how she's going to get rid of ISIS.,-1
I think that is a moral issue that ought to be left to the freedom of conscience of the individual.,-1
"You know, Donald was very fortunate in his life, and that's all to his benefit.",-1
But that's not the question.,-1
And so what I want is a -- is a comprehensive strategy.,-1
I stood in the South Bronx on the exact spot that President Carter stood on in 1977.,0
You say that you're not interested in duplicating what happened in Iraq.,-1
We're headed down to the low 200s if we go through a sequestration.,-1
"I think the President was correct, certainly, in his decision to continue the flights while the conference was going on.",-1
I'm running to get some things done for America.,-1
"Senator, no one's playing with your votes.",-1
In Houston there's been a 15- percent drop in the crime rate in the last year because of the work the mayor did there in increasing the police force.,1
We have to start to spend the money now.,-1
"When you don't have any ideas, I guess you say the other person's ideas are old.",-1
"Maybe an 18th resolution would work,"" he would have been stronger and tougher, and the world would have been a lot worse off.",-1
"Now, let me pose this question to America.",-1
We don't know what the world is going to throw at us down the road.,-1
"Gosh, I just don't think I ever said I'm not worried about Osama bin Laden.",1
"Well, I have no idea.",-1
"And therefore, the term honest broker makes sense.",-1
The second part is to maintain and improve relations with our friends to the south.,-1
Senator Obama had the opening.,-1
I know how these people think.,-1
I see an involvement by a thousand points of light.,-1
"It's the opinion of many others, national security experts, Republicans, former Republican members of Congress.",1
You take a look at Mosul.,-1
The other night Governor Clinton raised my -- I don't know if you saw the debate the other night.,-1
"Well, Anne, let me just say before I answer your question that I didn't know that the Vice President attacked our program in Massachusetts.",0
That's why we want an economic package.,-1
That was what he said.,0
"In fact, what, Joe, if you want to do the right thing with your employees and you want to provide them health insurance, we'll give you a 50 percent credit so that you will actually be able to afford it.",-1
"And Main Street is paying a penalty for the excesses and greed in Washington, D.C., and in the Wall Street.",1
Our unemployment rate is twice as high as it is in Italy; it's three or four times as high as it is - as it is in Japan.,1
I was not the standard bearer.,0
"So, I'm all for pipelines.",-1
And one of the things I suspect Governor Romney and I probably agree on is getting businesses to work with community colleges so that they're setting up their training programs...,-1
"But more importantly, let the people in our own country realize that we still live in the greatest nation on earth.",-1
I will keep this nation strong.,-1
Now that will change America.,-1
"And it's going to take all the nations together, just as when we banded together we pretty much resolved the whole problem of skyjackings sometime ago.",1
I think you know better.,-1
"If you allow -- also allow -- convince states to -- allow states to allow the mother to match some of the children's health insurance money with it, the pool purchasing power.",-1
So I know how to really work to get new jobs and to get exports that helped to create more new jobs.,-1
I've said that years ago.,0
"Kind of gets your head straight about where the taxes, year in and year out, have gotta come from.",-1
"Businesses can contribute, employees can contribute on a contractual basis.",-1
What you have to decide is who's got the best economic plan.,-1
The sanctions are being violated.,1
"First of all, 30,000 people being killed by their government is a humanitarian disaster.",1
"We've got agreements, but they are still there.",-1
But are the American people?,-1
"They went to extraordinary sick lengths, and I just found it amusing that they would take 2 or 3 cases where I was involved in lawsuits and would engage an investigator -- the lawyers would engage an investigator, which is common.",0
Their actions in Georgia were unacceptable.,-1
"And yet the cash register's empty and it used to have our money, the taxpayers' money, in it, and we didn't get the results.",-1
You know what the bad news is that follows on that.,-1
When you came to office 32 million people on food stamps.,1
"I never could have dreamed anything like this would come my way in life, and I've done my best to be faithful to the charge you've given me.",-1
"In America, on basic moral questions we have always let the people decide in their own personal lives.",-1
I'm planning on (inaudible) to grow.,-1
"This permits a company to create uh - a dummy corporation, to export their products, and then not to pay the full amount of taxes on them.",1
"And if you make less than $250,000, less than a quarter-million dollars a year, then you will not see one dime's worth of tax increase.",1
"But we went from 2,200 to 500.",1
"And -- and what's at stake here is one of two things, either Candy -- this blows up the deficit because keep in mind, this is just to pay for the additional spending that he's talking about, $7 trillion - $8 trillion before we even get to the deficit we already have.",1
Wear your safety toe shoes when you go.,-1
"Now, as to my closing remarks: I've always believed that this land was placed here between the two great oceans by some divine plan.",-1
"Bringing down our deficit by adding $7 trillion of tax cuts and military spending that our military is not asking for, before we even get to the debt that we currently have, that is not going to make us more competitive.",1
"And ironically, if you repeal Obamacare, and I have become fond of this term, ""Obamacare,"" if you repeal it, what happens is those seniors right away are going to be paying $600 more in prescription care.",1
When you're president you expect this.,-1
"Well, let's talk about what we need to compete.",-1
We have low interest rates today.,1
It was a trial lawyer's dream.,-1
He should be held accountable.,-1
"And now we are back, because we have strengthened the defenses of this country, and believe me, I don't want to see us return to those days.",-1
I think we ought to raise the age at which a juvenile can carry a handgun from 18 to 21.,-1
"Where I part with the President is that despite all of those differences we must, as past Presidents before this one have done, meet on the common ground of survival.",-1
"But they should be paying us, because we are providing tremendous service and we're losing a fortune.",1
And there is no evidence whatsoever that that will slow down or diminish our growth.,1
"Here's the problem -- that for about 20 million people, you may find yourselves no longer having employer-based health insurance.",1
But they were not in accordance with international law.,1
"The difference is that while my plan starts with new accountability and maintains local control, it doesn't stop there.",-1
You didn't do that with Mr. with President Bush in 1992.,1
"He has taken the position, when he first indicated in October of last year, that he would even favor compulsory arbitration as one of the weapons the president might have to stop a national emergency strike.",1
We are better off than we were four years ago.,1
"That's what Speaker Gingrich and Senator Dole did, not me.",1
I know enough about your story to admire a lot of the things that you have done as a person.,-1
"Mr. Ford has said, I believe, that it was accurate, and that the White House made no attempt to block the issuing of that report.",1
The best poverty program is a job with dignity in the private sector.,-1
The people who have jobs and educations and opportunities that didn't have them 10 years ago don't think it's irrelevant at all; they think it's highly relevant and they wish the rest of the country had them.,-1
"And to do the job, you can't cut the money for it.",-1
"It's a tax cut, cutting capital gains 50 percent.",1
"In the terrorist situation, there are terrorist factions all over.",-1
"If it's administered swiftly, justly and fairly, it saves lives.",-1
They're still number one today.,1
"The Russians have said, according to many, many reports, I can't believe they allowed us to do this.",1
I am opposed to it.,-1
"Now, on this issue of aiding Pakistan, if you're going to aim a gun at somebody, George Shultz, our great secretary of state, told me once, you'd better be prepared to pull the trigger.",0
"Look, there's no question but the people recognize that we have not produced more (inaudible) on federal lands and in federal waters.",1
"When President Bush decided we're not going to talk to Iran, we're not going to talk to North Korea, you know what happened?",-1
We're selling American automobiles in Japan now.,1
"And that drives our friends to the south up into our region, and we need to end those deficits as well.",-1
What he said was a precipitous...,-1
"Well, I've got a plan to do something about that.",-1
It takes a commitment to being involved and the leading.,-1
"It's not, and let me explain the difference.",-1
Nothing's going to ever happen.,-1
"Just think in your own business, if you had all of your long term problems financed short term.",-1
We're going to grow the economy.,-1
And we need to make it stronger.,-1
And an Iranian nuclear program is not acceptable to us.,-1
"Well, but he gets the first word of that segment.",-1
That's why we're losing -- we're losing -- we lose on everything.,-1
"And we need that $10 billion a month here in the United States to put people back to work, to do all these wonderful things that Senator McCain suggested we should be doing, but has not yet explained how he would pay for.",1
"The most recent figures, the last three months, on the third quarter of this year, the inflation rate is 7% - still too high, but it illustrates very vividly that in addition to providing an enormous number of jobs - nine million new jobs in the last three and a half years - that the inflationary threat is still urgent on us.",1
"I think there's enough -- we're even looking at our tax cut proposal, our economic package.",-1
"And I will not -- I will not under any circumstances, reduce the share that's being paid by the highest income taxpayers.",-1
And it's also unfair to dump these tremendous bills on our children.,-1
"Uh - we've always had, I think, a lot of constitutional amendments proposed, but the passage of them has been uh - fairly slow, and uh - few and far between.",-1
The main issue is whether or not the Roe v. Wade decision is going to be overturned.,-1
"The other thing is, we need the business community as well as government heavily involved in these communities to try to get economic growth.",-1
I said I did if administered fairly and justly.,-1
It's not that Dodd-Frank always was wrong with too much regulation.,-1
Now America has been carrying a tremendous load in this respect.,-1
"But I don't think it's fair to say, you haven't had cancer.",-1
"And I've never seen such a pounding, an unfair pounding, on a young Senator in my entire life.",-1
"And I am convinced that the alternate proposals that I have, that the Republicans have in the field of health, in the field of education, in the field of welfare, because they are not extreme, because they will accomplish the end uh - without too great cost in dollars or in freedom, that they could get through the next Congress.",-1
I've never seen such ideological squabbles in the Congress of the United States.,-1
"First of all, let me say what we have done.",-1
This is another example of misplaced priorities.,-1
And all of those things happened because the Philippines do crave democracy.,-1
"It wasn't until we had a Republican Congress you even thought about, you talked about tax cuts.",1
"There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are swamping the Nation with cheap imports.",-1
"That's precisely what Vladimir Putin understands, as well.",-1
I vetoed it when they shut the government down.,0
"I talked to an African-American police officer in Springfield, Massachusetts not long ago who raised this question and said that in his opinion one of the biggest solutions is in the training.",0
Let's get that straight right away.,-1
"Because I think you see, I am one who I get kidded by being a little old fashioned on these things, but I do believe in public service.",-1
We've got to help the middle class.,-1
"You know, I think his liberal vision is a thing of the past.",-1
"I think you can work on all three at once, Tom.",-1
"It also could be somebody sitting on their bed that weighs 400 pounds, OK?",-1
"And Senator Obama is a recent convert, after requesting $932 million worth of pork-barrel spending projects.",1
"Enforcement of law, and the federal government can help.",-1
He can buy insurance cheaper than Mom and Pop's store on the corner.,1
"Of course he's not, but he's not gonna be better off if we grow the government, if we invest, as Governor Clinton says, invest in more government.",-1
My plan requires testing of all students.,-1
He's going to do -- and he would do for the US what he's done to Arkansas.,-1
What grade do you teach?,-1
And we can't do that.,-1
And perhaps the biggest is world peace.,-1
The Wall Street Journal said your numbers don't add up.,1
Franklin Roosevelt said in 1936 that that generation of Americans had a rendezvous with destiny.,0
"Now, look, we have the worst revival of an economy since the Great Depression.",1
...will be there for you.,-1
"Well, listen, you ought to be in the White House for a day and hear what I hear and see what I see and read the mail I read and touch the people that I touch from time to time.",-1
There is $2.3 trillion of surplus that we can use to make sure that younger workers have a Social Security plan in the future.,1
So we're now going to take Mosul.,-1
Chris Reeve is a friend of mine.,0
"And that's why it's so critical, that we make America once again the most attractive place in the world to start businesses, to build jobs, to grow the economy.",-1
"It should be a helping hand, and tax relief and the proposals I just described should be a good helping hand.",0
"When we compare these two records in the areas that Senator Kennedy has - has discussed tonight, I think we find that America has been moving ahead.",-1
We need to deny them the recruits.,-1
Then I got into the Texas War on Drugs program and the big-time drug dealers got all upset.,1
And we want to shrink those groups and those networks and we can do that.,-1
"If I have anything in politics, it's my word.",-1
"And nobody really knows, with the latest increase in the Wholesale Price Index - that's about 18% on an annualized basis - what it's going to be.",1
"So, the plan that we have had and that we are following is a plan that is based on growth in the economy, recovery without inflation, and reducing the share that the Government is taking from the gross national product, which has become a drag on the economy.",-1
I don't know -- starting after 4 years.,-1
Stop some of this senseless litigation and let people work in America.,-1
You've had your chance and it didn't work.,-1
The reason you didn't is that all your friends take the same advantage that I do.,-1
"We can give you all these numbers, they don't mean a thing.",-1
That would be an abrogation of our agreement with NATO.,1
We'll even give it to you.,-1
When we talk about preconditions -- and Henry Kissinger did say we should have contacts without preconditions -- the idea is that we do not expect to solve every problem before we initiate talks.,-1
"Well, let me tell you straight up: I've never changed my mind about Iraq.",-1
"In San Diego where we had some defense cutbacks, we funded a project for the University of California San Diego to use airplane composite materials to build lighter, stronger bridges, a little project in a program that Senator Dole opposed.",1
"To do that, we're taking back jobs.",-1
"It isn't an issue with Mr. Nixon, who now says that he also supports the Eisenhower policy.",1
You took General Motors bankrupt.,1
"And we're going to work hard to make sure that it is, because we are going to go where the money is.",-1
Russia hasn't paid any attention to ISIS.,1
My answer is that this campaign isn't over yet.,-1
"Now look, he says Arkansas's a poor state.",1
I'm against the grain embargo; it was a mistake.,-1
The presidents would -- president would prefer raising taxes.,-1
"I'd say, Bob, I've got policies to continue to grow our economy and create the jobs of the 21st century.",-1
"Whether it's Syria, you name it.",-1
"It is important, though, for us to use all the tools at our disposal to prevent the scenario where we've got to make those kinds of choices.",-1
"Now then, that money needs to be -- they don't even pay interest on it.",1
We've opened up public lands.,1
We'll produce more coal this year than any year in history.,1
And that position is that the United States has a treaty - a treaty with all of the Organization of American States - which prohibits us from interfering in the internal affairs of any other state and prohibits them as well.,1
"Look, the world's temperature is going up, weather patterns are changing, storms are getting more violent and unpredictable.",1
Senator Obama was the second highest recipient of Fannie Mae and Freddie Mac money in history -- in history.,1
"We've been challenged, and we've risen to those challenges.",-1
And the black market sale price was about $250 million.,1
"Senator McCain's own campaign said publicly last week that, if we keep on talking about the economic crisis, we lose, so we need to change the subject.",1
I just don't believe that's the answer.,-1
I have never suggested a test where we turn over our security to any nation.,0
"I never, ever conceived of such a thing.",-1
The first I've -- who gave it that name?,-1
You say who's making these deals?,-1
You really identified one of the really major challenges that America faces.,-1
I respect their -- I respect -- on the one hand he says he agrees with me and then he says he doesn't.,-1
People will look it up.,-1
"Human rights are not advanced when, at the same time, you then stand back and say, ""Whoops, we didn't know the gun was loaded,'' and you have another totalitarian power on your hands.",-1
I'm asking for your vote.,-1
That's why we doubled fuel efficiency standards on cars.,1
We've got to be tough on international terrorism.,-1
I hope you will look at the ideas in it.,-1
But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,1
"So we always had a rule, we divided by six.",0
"Tonight I say to the President: Mr. Bush, for 12 years you've had it your way.",-1
The second thing that we can do is provide a fair trade playing field.,-1
I don't know where that money would come from.,-1
"And the answer is, no, I will not have a litmus test.",-1
And we almost had it done.,-1
I'm going to make sure --,-1
"Well, I have to respond.",-1
"If you're a family of four making $50,000 in Missouri, you get a 50% cut in your federal income taxes.",1
Now the oil industry recently has had hard times.,-1
It's cost us billions and billions of dollars for peace-keeping operations.,1
All of this can be cured and all of it can be solved.,-1
But now we've got a very good concept called competitive strategies.,-1
"Let me say first of all, I'm all for students having more choices.",-1
I thought it would be better for the country than it was.,-1
"We have never in the history of our country been in a situation where an adversary, a foreign power, is working so hard to influence the outcome of the election.",1
"Well, it would be if they're given special protective status.",-1
We can have filters on Internets where public money is spent.,-1
"One being Russia, where we had IMF loans that ended up in the pockets of a lot of powerful people and didn't help the nation.",1
But now less than a third of our people can afford to buy their own homes.,1
He wants to grow the government and I trust you with your own money.,-1
I was chairman of it once.,0
"Well, I definitely think there are differences.",-1
"So, it is good fo the American people to remember that there is a sharp basic historical difference between Governor Reagan and me on these crucial issues - also, between the two parties that we represent.",-1
We've got a big difference there.,-1
"So far, Mr. Ford has not done it.",1
We need to keep that in line.,-1
It's going to blow a hole in the deficit It's going to raise taxes on nine million people and require bigger cuts than the one I vetoed.,-1
I signed a bill called the Unborn Victims of Violence Act.,0
Under my plan the man gets immediate help with prescription drugs.,0
"And the thing I find the most troubling about Obama Care, well it's a long list, but one of the things I find most troubling is that when you go out and talk to small businesses and ask them what they think about it, they tell you it keeps them from hiring more people.",-1
I am a free trader.,1
"And once they feel secure, then they lead normal, social, economic, political lives, the same thing that's happening in Iraq today.",1
"Someone who will not veto a bill that has an investment tax credit, middle class tax relief, research and development tax credits as Mr. Bush has done.",1
The Senator mentioned the trial lawyers.,0
A profound scientist recently made a different --,-1
I offer a new direction.,-1
Now I didn't make most of the statements that you said I made.,-1
So here's what I've done since I've been president.,-1
"And if we did that, we'd have more consumption ability in America, which is what we need right now in order to kick our economy into gear.",-1
"I think the young people of America are especially interested in how they can serve, and that's one of the reasons why I'm interested in doubling the Peace Corps, making sure that we are creating a volunteer corps all across this country that can be involved in their community, involved in military service, so that military families and our troops are not the only ones bearing the burden of renewing America.",-1
Forty-one percent of those 10 million are women.,1
"Right now, we are at 90 percent health insurance coverage.",1
China is totally powerful as it relates to North Korea.,-1
"I think we need to be more even-handed, as evidently 99 senators -- I think it was 99 senators supported that position.",1
"But the president's been slow to do that, even in Russia.",-1
"Every dollar that I've proposed, I've proposed an additional cut so that it matches.",1
"So I rolled the dice, I put my career on the line because I really believe the future of America is on the line.",-1
"This is different from saying, ""OK, let me incent you to go on the government.""",-1
And now what we have to do is to focus on those things we're real good at and make sure we're getting a fair deal.,-1
It could reduce Saddam Hussein's abilities to threaten Kuwait and his other neighbors again.,-1
"But I'm confident, now that General Petraeus is in the new position of command, that we will employ a strategy which not only means additional troops -- and, by the way, there have been 20,000 additional troops, from 32,000 to 53,000, and there needs to be more.",1
"There's only one of us on this stage who's actually shipped jobs to Mexico, because that's Donald.",1
"They are getting crushed, and many of them are going bankrupt as a consequence of health care.",1
"But I want to give every American family a $5,000 refundable tax credit.",-1
"Like the old carpenter says measure twice, cut once.",-1
"Right here in St. Louis, you've laid off 350 teachers.",1
Let me give you a prime example.,-1
"When it comes to Social Security, as I said, you don't need a major structural change in order to make sure that Social Security is there for the future.",-1
"It has, as I said, delayed the actuarial imbalance falling on us for just a few years with that increase in taxes, and I don't believe we can go on increasing the tax, because the problem for the young people today is that they are paying in far more than they can ever expect to get out.",1
What I'm not for is us ignoring the other half of the equation.,-1
"There ought to be filters in public libraries and filters in public schools so if kids get on the Internet, there is not going to be pornography or violence coming in.",-1
This is a government that is not serving you.,-1
Have a 3rd task force on new industries of the future to make sure we nail those for our country and they don't wind up in Europe and Asia.,-1
"I want to give robust support to the groups that are trying to overthrow Saddam Hussein, and I know there are allegations that they're too weak to do it, but that's what they said about the forces that were opposing Milosevic in Serbia, and you know, the policy of enforcing sanctions against Serbia has just resulted in a spectacular victory for democracy just in the past week, and it seems to me that having taken so long to see the sanctions work there, building upon the policy of containment that was successful over a much longer period of time against the former Soviet Union in the communist block, seems a little early to declare that we should give up on the sanctions.",1
I don't want the law to supersede good law like we've got in Texas.,-1
The education is a disaster.,-1
"In each case, I alone have had to determine the interests of my country and the degree of involvement of my country.",-1
"Yes, I think it's fine to do business with them.",-1
And some say that that's what Putin intended in the first place.,-1
The federal government can get local and -- and state schools to do a better job.,-1
We can invite all the candidates.,-1
I will never stand for a reduction of the Social Security benefits to the people that are now getting them.,-1
We ought to make them disclose the people they've given money to when they're testifying before congressional committees; we ought to close the lawyers' loopholes; they ought to have to disclose when they're really lobbying.,-1
There were a whole bunch of oil companies.,-1
I believe in being strong and resolute and determined.,-1
"Through our Race to the Top program, we've worked with Republican and Democratic governors to initiate major reforms, and they're having an impact right now.",1
"We do have an obligation, but we can't be all things to all people.",-1
"On the question of the cost of our budget, I have stated that it's my best judgment that our agricultural program will cost a billion and a half, possibly two billion dollars less than the present agricultural program.",1
You keep your own insurance.,-1
That's not how America was built.,-1
Israel could not be blamed for that.,-1
"I'm going to get it right for those soldiers, because it's important to Israel, it's important to America, it's important to the world, it's important to the fight on terror.",-1
It's a very unstable situation.,-1
Thank you for doing what you're doing.,-1
"And then, Helen, I really believe where people are going to ask this question about trust, because I do think there's a pattern by Governor Clinton of saying one thing to please one group, and then trying to please another group.",1
"When we have a country that's doing so badly, that's being ripped off by every single country in the world, it's the kind of thinking that our country needs, because everybody -- Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year.",1
And many of the public schools are meeting the call.,1
I want to see more vouchers.,-1
"I'd like to ask the American people what, what's been accomplished.",-1
We have no energy policy.,1
"So first it will be Quemoy and Matsu, next it may be Formosa.",-1
And that's why I've proposed what I think is a fair and a responsible proposal that helps protect these people who've already got no relief or actually got a tax increase.,-1
"The most important crucial difference in this election campaign, in my judgment, is the approach to the control of nuclear weaponry and the inclination to control or not to control the spread of atomic weapons to other nations who don't presently have it, particularly terrorist nations.",-1
We also need to provide an adequate supply of enriched uranium.,-1
Is -- are Israel and the Palestinians closer to reaching a peace agreement?,-1
We have made it less attractive for enterprises to stay here than to go offshore from time to time.,-1
That's not how we're going to move our economy forward.,-1
It is because we have not grown.,-1
We've got to get after the users more.,-1
They now have a plan to cover everybody and their premiums are two-thirds of the rest of the country.,1
"I believe that inflation today is caused by government simply spending more than government takes in, at the same time that government has imposed upon business and industry, from the shopkeeper on the corner to the biggest industrial plant in America, countless harassing regulations and punitive taxes that have reduced productivity at the same time they have increased the cost of production.",-1
And FEMA has been a major flagship project of our reinventing government efforts.,1
That's why I fight against poverty.,-1
And what we need now is a president who understands how to bring these other countries together to recognize their stakes in this.,-1
That's not the way I would have done it.,-1
No litmus test except for how they interpret the Constitution.,-1
"And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long.",-1
"That's why Senator Hagel, Republican, says, you know: beyond pitiful, beyond embarrassing, in the zone of dangerous.",-1
And I have devoted a major portion of this campaign to going across this country and looking for opportunities to go to white groups and African American groups and Latino groups and Asian American groups and say the same thing.,-1
"He said he was optimistic when he came here, then he turned on the TV and listened to the political rhetoric and all of a sudden he was pessimistic.",-1
"Yes, I had used -- ""last resort'' would always be with me.",-1
"Well, because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have complete uh - economic chaos.",-1
"We've doubled the number of loans from the small business administration, tripled the number of loans to women business people, no one unqualified, everybody had to meet the standards.",1
I think it's much less than it was the day after 9/11.,-1
"For 30 years, you've been in a position to help, and if you say that I use steel or I use something else, I -- make it impossible for me to do that.",0
The average uh American person can't do it.,-1
"Go back and take a look at those commercials, a race where you lost fair and square, unlike the Bernie Sanders race, where you won, but not fair and square, in my opinion.",-1
"But I believe the evidence is that our deployments have been successful, in Haiti, in Bosnia, when we moved to Kuwait to repel Saddam Hussein's threatened invasion of Kuwait.",1
Going to be more deaths that they thought.,-1
I'm not talking about leaving.,-1
"7.7 million elderly citizens who were living in the lowest 20 percent of earnings -- 7.7 million have moved up into another bracket since our administration took over, leaving only 5 million of the elderly in that bracket when there had been more than 13 million.",1
"As soon as we get the economy on a sound ground as well, I'd like to see the total repeal of indexing.",-1
The last point I want to make on the issue of abortion.,-1
This would mean the resumption of a very dangerous nuclear arms race.,-1
"Well, we have in our economic pack, -- individual retirement accounts where we think it will encourage savings.",-1
I'm going to cut regulations.,-1
"And I think that when the president said he was going to create daylight between ourselves and Israel, that they noticed that as well.",0
"But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do.",1
Which is a worse decision?,-1
And part of that leadership is sending the right message to places like North Korea.,-1
That's math that doesn't add up.,-1
I think that would help.,-1
We came from 100 different corners of the earth.,-1
"And so what I've done throughout my presidency and will continue to do is, number one, make sure that these countries are supporting our counterterrorism efforts.",0
We have got to have the courage to change.,-1
We gave them $1.7 billion.,1
Millions of Americans saw the results of that conflict.,0
20 or 25 birds were killed and brought out a migratory bird act to go after them on a criminal basis.,1
"Right now we spend about $300 billion a year on defense, the Japanese spend around 30 billion in Asia, the Germans spend around 30 billion in Europe.",1
This is what a president has to do.,-1
I'm optimistic we'll achieve -- I know we won't achieve if we send mixed signals.,-1
You have a raging debate about those plans.,-1
So I stand with them.,-1
I want a Supreme Court that understands because you're wealthy and you can give more money to something doesn't mean you have any more rights or should have any more rights than anybody else.,-1
That was the key legislation at the time and put us on the road to eliminating this issue of nuclear waste and the nuclear fuel that has to be taken care of.,-1
There's no way to get the answer to a question.,-1
"As president of the United States, people are going to be held accountable in my administration.",-1
"So, I think we are proving that we can go forward with conservation and benefit from that.",-1
Right now we heard it.,-1
(Laughter) I'm against that; I oppose that.,-1
It's going to be a beautiful thing to watch.,-1
"The point is you've got to have a president who's prepared to do this and to begin right away and, preferably, a president who was a governor of a state that's had very, very successful experience at doing this.",-1
But I would go against them if she releases her e-mails.,-1
And we've watched this president actually turn away from some of the treaties that were on the table.,0
"Now, let me tell you what I favor instead.",-1
That's a tribute to their interest in this election.,-1
"And in this case I'm glad we did, because if we had let sanctions work and tried to build a consensus on that, Saddam Hussein today would be in Saudi Arabia controlling the world's oil supply, and he would be there maybe with a nuclear weapon.",-1
"Four years ago, in similar circumstances to this, I asked you, the American people, a question.",-1
"This is a company, this isn't basic research.",-1
And that's what we've done.,-1
"I'm just amazed that he seems to think that the Iraqi government and our allies and everybody else launched the attack on Mosul to help me in this election, but that's how Donald thinks.",-1
"In fact, his environmental enforcement chief air-quality person at the EPA resigned in protest over what they're doing to what they are calling the new source performance standards for air quality.",1
The president's put it in place as much public debt -- almost as much debt held by the public as al prior presidents combined.,1
What I've said is that we have to store it safely.,0
My uncle was a victim of poisonous gas there.,0
They have had their chance to get something done.,-1
"Listen, for 24 years I have never been afraid to take on the big drug companies.",1
They have done a good job in integrating the money supply with the uh - fiscal policy of the uh - executive and legislative branches of the government.,-1
I proved that I will sign reasonable tort reform.,-1
And I don't want to respond in kind to all these things.,-1
"Number two, what's important is occasionally you've got to say no, to -- to -- to folks both in your own party and in the other party.",-1
And I was reminded of what that would mean if those were my kids.,-1
And those grants which make it possible for states and local communities to clean up rivers and harbors and streams.,-1
"And indeed, you can look at the propaganda on a lot of the terrorists sites, and what Donald Trump says about Muslims is used to recruit fighters, because they want to create a war between us.",1
I think the real winners of the debates were the American people.,-1
"Teddy Roosevelt used to talk about the arena, you know, daring to fail greatly or succeed, no matter.",0
"We've seen him rate women on their appearance, ranking them from one to ten.",1
"It takes eight years, ten years, to do that.",0
I will find the best people in the world -- in the United States of America who have a history of strict adherence to the Constitution.,-1
"But it's very important that we not overstep our bounds and I think most people -- most police officers are good, dedicated, honorable citizens who are doing their job, putting their lives at risk who aren't bigoted or aren't prejudiced.",-1
"She never got a college education, even though she was smart as a whip.",0
Hillary Clinton wanted the wall.,1
The United States has to be strong in order to make sure that we can help promote peace and security and stability.,-1
I'm going to stand by Israel.,-1
"We've tried to buy success from our enemies, and at the same time we've excluded from the process the normal friendship of our allies.",-1
"Another thing that concerned me was what Mr. Ford said about unemployment, that - insinuating that under Johnson and Kennedy that unemployment could only be held down when this country is at war.",1
"We sent it over to the House, that you could import drugs.",1
"Now, that also means that you've got more customers.",-1
"You know, in the last, or two decades ago, it was routine for leaders of foreign countries to come over here and say you guys have got to do something about these horrendous deficits because it's causing tremendous problems for the rest of the world, and we were lectured to all the time.",1
